stock_name,daily_profit,day_min_price,day_max_price,day_final_price,date,buyers_in_day,volumn_of_buy_in_day,persons_num_of_buyers,company_num_of_buyers,persons_amount_of_buy,company_amount_of_buy,persons_num_of_seller,company_num_of_seller,persons_amount_of_sells,company_amount_of_sells
سمتاز,-0.21,28200.00,29829.00,28899.00,1399-05-15,171,403692,171,1, 373692B, 30000,200,0, 403692B, 0
سمتاز,2.70,28000.00,29046.00,28961.00,1399-05-14,323,714144,171,1, 373692B, 30000,200,0, 403692B, 0
سمتاز,-0.40,27463.00,29161.00,28200.00,1399-05-13,0,658702,171,1, 373692B, 30000,200,0, 403692B, 0
سمتاز,-2.14,28064.00,29790.00,28312.00,1399-05-12,313,M 1.148,171,1, 373692B, 30000,200,0, 403692B, 0
سمتاز,-2.64,28824.00,30000.00,28931.00,1399-05-11,342,M 1.294,171,1, 373692B, 30000,200,0, 403692B, 0
سمتاز,-0.93,29095.00,29095.00,29715.00,1399-05-08,88,200579,171,1, 373692B, 30000,200,0, 403692B, 0
سمتاز,0.03,30192.00,30192.00,29994.00,1399-05-07,18,25787,171,1, 373692B, 30000,200,0, 403692B, 0
سمتاز,2.32,30000.00,31192.00,30986.00,1399-04-28,0,M 1.106,171,1, 373692B, 30000,200,0, 403692B, 0
سمتاز,-2.36,30087.00,31000.00,30284.00,1399-04-25,285,954391,171,1, 373692B, 30000,200,0, 403692B, 0
سمتاز,-1.93,30681.00,31700.00,31017.00,1399-04-24,167,571969,171,1, 373692B, 30000,200,0, 403692B, 0
سمتاز,-1.38,31110.00,32000.00,31629.00,1399-04-23,151,348779,171,1, 373692B, 30000,200,0, 403692B, 0
سمتاز,2.95,31620.00,32088.00,32072.00,1399-04-22,0,910919,171,1, 373692B, 30000,200,0, 403692B, 0
سمتاز,0.47,30079.00,31939.00,31154.00,1399-04-21,258,M 1.445,171,1, 373692B, 30000,200,0, 403692B, 0
سمتاز,-0.93,30371.00,32230.00,31009.00,1399-04-18,204,M 1.186,171,1, 373692B, 30000,200,0, 403692B, 0
سمتاز,-2.67,31193.00,32750.00,31300.00,1399-04-17,281,M 1.253,171,1, 373692B, 30000,200,0, 403692B, 0
سمتاز,-2.73,32070.00,33200.00,32157.00,1399-04-16,0,M 2.509,171,1, 373692B, 30000,200,0, 403692B, 0
سمتاز,3.42,32980.00,34900.00,33061.00,1399-04-15,256,719881,171,1, 373692B, 30000,200,0, 403692B, 0
سمتاز,1.86,32323.00,32323.00,31967.00,1399-04-09,129,384535,171,1, 373692B, 30000,200,0, 403692B, 0
سمتاز,-0.63,30640.00,32527.00,31382.00,1399-04-08,295,M 1.751,171,1, 373692B, 30000,200,0, 403692B, 0
سمتاز,-2.37,31377.00,32500.00,31580.00,1399-04-07,426,M 1.127,171,1, 373692B, 30000,200,0, 403692B, 0
سمتاز,-2.71,32250.00,33000.00,32347.00,1399-04-04,271,672188,171,1, 373692B, 30000,200,0, 403692B, 0
سمتاز,2.81,32384.00,33307.00,33247.00,1399-04-03,0,M 1.556,171,1, 373692B, 30000,200,0, 403692B, 0
سمتاز,-1.51,31848.00,33790.00,32337.00,1399-04-02,0,M 1.939,171,1, 373692B, 30000,200,0, 403692B, 0
سمتاز,-2.99,32829.00,33000.00,32832.00,1399-04-01,0,806011,171,1, 373692B, 30000,200,0, 403692B, 0
سمتاز,-1.09,33192.00,35219.00,33844.00,1399-03-31,765,M 2.312,171,1, 373692B, 30000,200,0, 403692B, 0
سمتاز,-2.50,34043.00,35900.00,34218.00,1399-03-27,520,M 1.1,171,1, 373692B, 30000,200,0, 403692B, 0
